"","Leg_Dist_Precinct","Leg_Dist_Legislative","Leg_Dist_Voted_of_Registered_Adults","Leg_Dist_Voted_of_Adjusted_Total_Adults","Leg_Dist_Registered_of_Adjusted_Total_Adults","Leg_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Leg_Dist_Female_of_Voted","Leg_Dist_Male_of_Voted","Leg_Dist_UnknownSex_of_Voted","Leg_Dist_Ages16to17_of_Voted","Leg_Dist_Ages18to29_of_Voted","Leg_Dist_Ages30to49_of_Voted","Leg_Dist_Ages50to64_of_Voted","Leg_Dist_Ages65plus_of_Voted","Leg_Dist_UnknownAge_of_Voted","Leg_Dist_Female_of_Registered","Leg_Dist_Male_of_Registered","Leg_Dist_UnknownSex_of_Registered","Leg_Dist_Ages16to17_of_Registered","Leg_Dist_Ages18to29_of_Registered","Leg_Dist_Ages30to49_of_Registered","Leg_Dist_Ages50to64_of_Registered","Leg_Dist_Ages65plus_of_Registered","Leg_Dist_UnknownAge_of_Registered","Council_Dist_Councilmanic","Council_Dist_Voted_of_Registered_Adults","Council_Dist_Voted_of_Adjusted_Total_Adults","Council_Dist_Registered_of_Adjusted_Total_Adults","Council_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Council_Dist_Female_of_Voted","Council_Dist_Male_of_Voted","Council_Dist_UnknownSex_of_Voted","Council_Dist_Ages16to17_of_Voted","Council_Dist_Ages18to29_of_Voted","Council_Dist_Ages30to49_of_Voted","Council_Dist_Ages50to64_of_Voted","Council_Dist_Ages65plus_of_Voted","Council_Dist_UnknownAge_of_Voted","Council_Dist_Female_of_Registered","Council_Dist_Male_of_Registered","Council_Dist_UnknownSex_of_Registered","Council_Dist_Ages16to17_of_Registered","Council_Dist_Ages18to29_of_Registered","Council_Dist_Ages30to49_of_Registered","Council_Dist_Ages50to64_of_Registered","Council_Dist_Ages65plus_of_Registered","Council_Dist_UnknownAge_of_Registered","Council_Dist_Votes_by_Mail_Percent","Council_Dist_In_Person_Votes_Percent","Council_Dist_Provisional_Votes_Percent","Council_Dist_Number_of_Democrat_Candidates","Council_Dist_Number_of_Republican_Candidates"
"1","01-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"2","01-002",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"3","01-003",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"4","01-004",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"5","01-005",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"6","02-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"7","02-002",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"8","02-003",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"9","03-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"10","03-002",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"11","03-003",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"12","04-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"13","04-002",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"14","04-003",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"15","05-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"16","05-002",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"17","06-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"18","06-002",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"19","06-003",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"20","06-004",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"21","06-005",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"22","07-001",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"23","07-002",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"24","07-003",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"25","07-004",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"26","08-001",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"27","08-002",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"28","08-003",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"29","08-004",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"30","08-005",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"31","08-006",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"32","08-007",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"33","08-008",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"34","08-009",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"35","08-010",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"36","08-011",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"37","09-001",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"38","09-002",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"39","09-003",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"40","09-004",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"41","09-005",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"42","09-006",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"43","09-007",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"44","09-008",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"45","09-009",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"46","09-010",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"47","09-011",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"48","09-012",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"49","09-013",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"50","09-014",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"51","09-015",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"52","10-001",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"53","10-002",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"54","10-003",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
