"","Leg_Dist_Precinct","Leg_Dist_Legislative","Leg_Dist_Voted_of_Registered_Adults","Leg_Dist_Voted_of_Adjusted_Total_Adults","Leg_Dist_Registered_of_Adjusted_Total_Adults","Leg_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Leg_Dist_Female_of_Voted","Leg_Dist_Male_of_Voted","Leg_Dist_UnknownSex_of_Voted","Leg_Dist_Ages16to17_of_Voted","Leg_Dist_Ages18to29_of_Voted","Leg_Dist_Ages30to49_of_Voted","Leg_Dist_Ages50to64_of_Voted","Leg_Dist_Ages65plus_of_Voted","Leg_Dist_UnknownAge_of_Voted","Leg_Dist_Female_of_Registered","Leg_Dist_Male_of_Registered","Leg_Dist_UnknownSex_of_Registered","Leg_Dist_Ages16to17_of_Registered","Leg_Dist_Ages18to29_of_Registered","Leg_Dist_Ages30to49_of_Registered","Leg_Dist_Ages50to64_of_Registered","Leg_Dist_Ages65plus_of_Registered","Leg_Dist_UnknownAge_of_Registered","Council_Dist_Councilmanic","Council_Dist_Voted_of_Registered_Adults","Council_Dist_Voted_of_Adjusted_Total_Adults","Council_Dist_Registered_of_Adjusted_Total_Adults","Council_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Council_Dist_Female_of_Voted","Council_Dist_Male_of_Voted","Council_Dist_UnknownSex_of_Voted","Council_Dist_Ages16to17_of_Voted","Council_Dist_Ages18to29_of_Voted","Council_Dist_Ages30to49_of_Voted","Council_Dist_Ages50to64_of_Voted","Council_Dist_Ages65plus_of_Voted","Council_Dist_UnknownAge_of_Voted","Council_Dist_Female_of_Registered","Council_Dist_Male_of_Registered","Council_Dist_UnknownSex_of_Registered","Council_Dist_Ages16to17_of_Registered","Council_Dist_Ages18to29_of_Registered","Council_Dist_Ages30to49_of_Registered","Council_Dist_Ages50to64_of_Registered","Council_Dist_Ages65plus_of_Registered","Council_Dist_UnknownAge_of_Registered","Council_Dist_Votes_by_Mail_Percent","Council_Dist_In_Person_Votes_Percent","Council_Dist_Provisional_Votes_Percent","Council_Dist_Number_of_Democrat_Candidates","Council_Dist_Number_of_Republican_Candidates"
"55","10-004",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"56","11-001",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"57","11-002",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"58","11-003",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"59","11-004",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"60","11-005",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"61","11-006",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"62","11-007",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"63","12-001",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"64","12-002",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"65","12-003",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"66","12-004",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"67","12-005",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"68","12-006",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"69","12-007",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"70","12-008",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"71","12-009",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"72","12-010",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"73","12-011",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"74","12-012",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,12,20.34,26.47,130.12,5.13,58.48,41.33,0.19,0.07,15.33,30.27,25.25,23.13,5.96,50.24,49.57,0.2,0.21,15.16,36.55,24.6,23.33,0.15,96.91,2.63,0.46,6,1
"75","12-013",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","13-001",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"77","13-002",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"78","13-003",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"79","13-004",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"80","13-005",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"81","13-006",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"82","13-007",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"83","13-008",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"84","13-009",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"85","13-010",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"86","13-011",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"87","13-012",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"88","13-013",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","14-001",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"90","14-002",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"91","14-003",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"92","14-004",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"93","14-005",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"94","15-001",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"95","15-002",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"96","15-003",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"97","15-004",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"98","15-005",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"99","15-006",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"100","15-007",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"101","15-008",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"102","15-009",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"103","15-010",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"104","15-011",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"105","15-012",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"106","15-013",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"107","15-014",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"108","15-015",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"109","15-016",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"110","15-017",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"111","15-018",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"112","15-019",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"113","15-020",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"114","15-021",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"115","15-022",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
