"","Leg_Dist_Precinct","Leg_Dist_Legislative","Leg_Dist_Voted_of_Registered_Adults","Leg_Dist_Voted_of_Adjusted_Total_Adults","Leg_Dist_Registered_of_Adjusted_Total_Adults","Leg_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Leg_Dist_Female_of_Voted","Leg_Dist_Male_of_Voted","Leg_Dist_UnknownSex_of_Voted","Leg_Dist_Ages16to17_of_Voted","Leg_Dist_Ages18to29_of_Voted","Leg_Dist_Ages30to49_of_Voted","Leg_Dist_Ages50to64_of_Voted","Leg_Dist_Ages65plus_of_Voted","Leg_Dist_UnknownAge_of_Voted","Leg_Dist_Female_of_Registered","Leg_Dist_Male_of_Registered","Leg_Dist_UnknownSex_of_Registered","Leg_Dist_Ages16to17_of_Registered","Leg_Dist_Ages18to29_of_Registered","Leg_Dist_Ages30to49_of_Registered","Leg_Dist_Ages50to64_of_Registered","Leg_Dist_Ages65plus_of_Registered","Leg_Dist_UnknownAge_of_Registered","Council_Dist_Councilmanic","Council_Dist_Voted_of_Registered_Adults","Council_Dist_Voted_of_Adjusted_Total_Adults","Council_Dist_Registered_of_Adjusted_Total_Adults","Council_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Council_Dist_Female_of_Voted","Council_Dist_Male_of_Voted","Council_Dist_UnknownSex_of_Voted","Council_Dist_Ages16to17_of_Voted","Council_Dist_Ages18to29_of_Voted","Council_Dist_Ages30to49_of_Voted","Council_Dist_Ages50to64_of_Voted","Council_Dist_Ages65plus_of_Voted","Council_Dist_UnknownAge_of_Voted","Council_Dist_Female_of_Registered","Council_Dist_Male_of_Registered","Council_Dist_UnknownSex_of_Registered","Council_Dist_Ages16to17_of_Registered","Council_Dist_Ages18to29_of_Registered","Council_Dist_Ages30to49_of_Registered","Council_Dist_Ages50to64_of_Registered","Council_Dist_Ages65plus_of_Registered","Council_Dist_UnknownAge_of_Registered","Council_Dist_Votes_by_Mail_Percent","Council_Dist_In_Person_Votes_Percent","Council_Dist_Provisional_Votes_Percent","Council_Dist_Number_of_Democrat_Candidates","Council_Dist_Number_of_Republican_Candidates"
"116","15-023",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"117","15-024",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"118","15-025",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"119","16-001",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"120","16-002",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"121","16-003",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"122","16-004",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"123","16-005",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"124","16-006",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"125","16-007",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"126","16-008",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"127","16-009",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"128","16-010",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"129","16-011",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"130","16-012",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"131","16-013",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"132","16-014",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"133","17-001",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"134","17-002",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"135","18-001",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"136","18-002",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"137","19-001",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"138","19-002",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"139","19-003",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"140","20-001",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"141","20-002",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"142","20-003",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"143","20-004",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"144","20-005",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"145","20-006",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"146","20-007",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"147","20-008",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"148","20-009",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"149","20-010",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"150","20-011",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,9,19.5,25.08,128.61,3.58,61.8,38.08,0.12,0.12,9.42,23.25,31.53,30.49,5.19,52.61,47.24,0.15,0.31,13.79,30.23,26.17,29.23,0.27,94.89,4.47,0.64,4,0
"151","20-012",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","21-001",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"153","21-002",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"154","21-003",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"155","21-004",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"156","21-005",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","22-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"158","22-002",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"159","23-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"160","23-002",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"161","23-003",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"162","24-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"163","24-002",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"164","24-003",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"165","24-004",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"166","24-005",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,11,21.41,25.87,120.81,4.88,55.88,43.98,0.14,0.13,19.37,31.66,20.87,22.31,5.65,51.62,48.21,0.17,0.19,20.64,42.16,17.62,19.31,0.07,97.82,1.91,0.28,1,0
"167","25-001",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"168","25-002",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"169","25-003",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"170","25-004",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"171","25-005",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"172","25-006",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"173","25-007",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"174","25-008",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"175","25-009",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"176","25-010",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
