"","Leg_Dist_Precinct","Leg_Dist_Legislative","Leg_Dist_Voted_of_Registered_Adults","Leg_Dist_Voted_of_Adjusted_Total_Adults","Leg_Dist_Registered_of_Adjusted_Total_Adults","Leg_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Leg_Dist_Female_of_Voted","Leg_Dist_Male_of_Voted","Leg_Dist_UnknownSex_of_Voted","Leg_Dist_Ages16to17_of_Voted","Leg_Dist_Ages18to29_of_Voted","Leg_Dist_Ages30to49_of_Voted","Leg_Dist_Ages50to64_of_Voted","Leg_Dist_Ages65plus_of_Voted","Leg_Dist_UnknownAge_of_Voted","Leg_Dist_Female_of_Registered","Leg_Dist_Male_of_Registered","Leg_Dist_UnknownSex_of_Registered","Leg_Dist_Ages16to17_of_Registered","Leg_Dist_Ages18to29_of_Registered","Leg_Dist_Ages30to49_of_Registered","Leg_Dist_Ages50to64_of_Registered","Leg_Dist_Ages65plus_of_Registered","Leg_Dist_UnknownAge_of_Registered","Council_Dist_Councilmanic","Council_Dist_Voted_of_Registered_Adults","Council_Dist_Voted_of_Adjusted_Total_Adults","Council_Dist_Registered_of_Adjusted_Total_Adults","Council_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Council_Dist_Female_of_Voted","Council_Dist_Male_of_Voted","Council_Dist_UnknownSex_of_Voted","Council_Dist_Ages16to17_of_Voted","Council_Dist_Ages18to29_of_Voted","Council_Dist_Ages30to49_of_Voted","Council_Dist_Ages50to64_of_Voted","Council_Dist_Ages65plus_of_Voted","Council_Dist_UnknownAge_of_Voted","Council_Dist_Female_of_Registered","Council_Dist_Male_of_Registered","Council_Dist_UnknownSex_of_Registered","Council_Dist_Ages16to17_of_Registered","Council_Dist_Ages18to29_of_Registered","Council_Dist_Ages30to49_of_Registered","Council_Dist_Ages50to64_of_Registered","Council_Dist_Ages65plus_of_Registered","Council_Dist_UnknownAge_of_Registered","Council_Dist_Votes_by_Mail_Percent","Council_Dist_In_Person_Votes_Percent","Council_Dist_Provisional_Votes_Percent","Council_Dist_Number_of_Democrat_Candidates","Council_Dist_Number_of_Republican_Candidates"
"177","25-011",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"178","25-012",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"179","25-013",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"180","25-014",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"181","25-015",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"182","25-016",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"183","25-017",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,10,18.93,18.51,97.78,14.17,61.34,38.63,0.03,0.05,12.87,26.64,30.57,24.61,5.26,54.05,45.82,0.12,0.32,16.76,34.64,24.28,23.82,0.17,95.09,4.27,0.64,9,2
"184","25-018",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","26-001",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"186","26-002",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"187","26-003",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"188","26-004",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"189","26-005",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"190","26-006",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"191","26-007",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"192","26-008",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"193","26-009",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"194","26-010",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,1,21.47,23.07,107.45,19.67,55.86,44.01,0.13,0.06,18.92,39.61,17.67,17.27,6.48,51.37,48.45,0.18,0.15,18.95,45.77,16.01,19.08,0.04,98.45,1.18,0.38,2,0
"195","26-011",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"196","26-012",46,21.12,22.48,106.46,16.06,56.78,43.11,0.11,0.07,18.5,35.28,20.74,19.39,6.01,51.39,48.46,0.15,0.2,19.41,42.3,18.59,19.42,0.08,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"197","26-013",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"198","26-014",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"199","26-015",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"200","26-016",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"201","26-017",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"202","26-018",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"203","26-019",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"204","26-020",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"205","26-021",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"206","26-022",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"207","26-023",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"208","26-024",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"209","26-025",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"210","26-026",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"211","26-027",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"212","26-028",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"213","26-029",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"214","26-030",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"215","26-031",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"216","26-032",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"217","26-033",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,13,23.58,26.77,113.55,9.84,63.93,35.98,0.09,0.19,12.15,25.32,29.5,27.24,5.61,54.29,45.58,0.13,0.34,16.28,33.57,25.19,24.47,0.14,97.03,2.53,0.44,7,0
"218","27-001",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"219","27-002",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"220","27-003",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"221","27-004",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"222","27-005",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"223","27-006",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"224","27-007",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"225","27-008",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"226","27-009",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"227","27-010",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,2,30.28,31.4,103.7,7.81,63.12,36.85,0.03,0.18,11.04,26.61,30.7,25.95,5.5,55.48,44.43,0.1,0.51,16.45,32.93,25.32,24.71,0.08,96.69,2.96,0.36,3,1
"228","27-011",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"229","27-012",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"230","27-013",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"231","27-014",45,27.18,32.19,118.41,4.89,62.37,37.56,0.07,0.16,11.34,27.58,29.54,25.83,5.55,54.25,45.63,0.12,0.4,15.66,33.73,25.16,24.94,0.1,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"232","27-015",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"233","27-016",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"234","27-017",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"235","27-018",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,3,33.59,38.84,115.64,3.41,61.52,38.42,0.06,0.19,10.54,30.44,26.86,26.84,5.13,55,44.9,0.09,0.48,14.97,33.84,23.72,26.92,0.07,97.21,2.43,0.37,3,1
"236","27-019",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"237","27-020",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
