Precinct,Variable,Count
016-001,BALLOTS CAST - TOTAL,138
016-002,BALLOTS CAST - TOTAL,249
016-003,BALLOTS CAST - TOTAL,137
016-004,BALLOTS CAST - TOTAL,81
016-005,BALLOTS CAST - TOTAL,406
016-006,BALLOTS CAST - TOTAL,410
016-007,BALLOTS CAST - TOTAL,359
016-008,BALLOTS CAST - TOTAL,216
016-009,BALLOTS CAST - TOTAL,284
016-010,BALLOTS CAST - TOTAL,188
016-011,BALLOTS CAST - TOTAL,152
016-012,BALLOTS CAST - TOTAL,355
016-013,BALLOTS CAST - TOTAL,377
016-014,BALLOTS CAST - TOTAL,826
017-001,BALLOTS CAST - TOTAL,38
017-002,BALLOTS CAST - TOTAL,683
018-001,BALLOTS CAST - TOTAL,210
018-002,BALLOTS CAST - TOTAL,446
019-001,BALLOTS CAST - TOTAL,237
019-002,BALLOTS CAST - TOTAL,232
019-003,BALLOTS CAST - TOTAL,29
020-001,BALLOTS CAST - TOTAL,322
020-002,BALLOTS CAST - TOTAL,324
020-003,BALLOTS CAST - TOTAL,325
020-004,BALLOTS CAST - TOTAL,53
020-005,BALLOTS CAST - TOTAL,243
020-006,BALLOTS CAST - TOTAL,814
020-007,BALLOTS CAST - TOTAL,518
020-008,BALLOTS CAST - TOTAL,162
020-009,BALLOTS CAST - TOTAL,133
020-010,BALLOTS CAST - TOTAL,75
020-011,BALLOTS CAST - TOTAL,177
021-001,BALLOTS CAST - TOTAL,344
021-002,BALLOTS CAST - TOTAL,590
021-003,BALLOTS CAST - TOTAL,571
021-004,BALLOTS CAST - TOTAL,146
022-001,BALLOTS CAST - TOTAL,647
022-002,BALLOTS CAST - TOTAL,910
023-001,BALLOTS CAST - TOTAL,644
023-002,BALLOTS CAST - TOTAL,458
023-003,BALLOTS CAST - TOTAL,961
024-001,BALLOTS CAST - TOTAL,391
024-002,BALLOTS CAST - TOTAL,457
024-003,BALLOTS CAST - TOTAL,986
024-004,BALLOTS CAST - TOTAL,1284
024-005,BALLOTS CAST - TOTAL,2176
025-001,BALLOTS CAST - TOTAL,1047
025-002,BALLOTS CAST - TOTAL,541
025-003,BALLOTS CAST - TOTAL,360
025-004,BALLOTS CAST - TOTAL,562
025-005,BALLOTS CAST - TOTAL,441
025-006,BALLOTS CAST - TOTAL,234
025-007,BALLOTS CAST - TOTAL,90
025-008,BALLOTS CAST - TOTAL,372
025-009,BALLOTS CAST - TOTAL,247
025-010,BALLOTS CAST - TOTAL,293
025-011,BALLOTS CAST - TOTAL,150
025-012,BALLOTS CAST - TOTAL,230
025-013,BALLOTS CAST - TOTAL,123
025-014,BALLOTS CAST - TOTAL,144
025-015,BALLOTS CAST - TOTAL,203
025-016,BALLOTS CAST - TOTAL,285
025-017,BALLOTS CAST - TOTAL,404
026-001,BALLOTS CAST - TOTAL,66
026-002,BALLOTS CAST - TOTAL,296
026-003,BALLOTS CAST - TOTAL,331
026-004,BALLOTS CAST - TOTAL,220
026-005,BALLOTS CAST - TOTAL,161
026-006,BALLOTS CAST - TOTAL,246
026-007,BALLOTS CAST - TOTAL,481
026-008,BALLOTS CAST - TOTAL,720
026-009,BALLOTS CAST - TOTAL,1570
026-010,BALLOTS CAST - TOTAL,823
026-011,BALLOTS CAST - TOTAL,218
026-012,BALLOTS CAST - TOTAL,69
026-013,BALLOTS CAST - TOTAL,176
026-014,BALLOTS CAST - TOTAL,157
026-015,BALLOTS CAST - TOTAL,453
026-016,BALLOTS CAST - TOTAL,402
026-017,BALLOTS CAST - TOTAL,129
026-018,BALLOTS CAST - TOTAL,570
026-019,BALLOTS CAST - TOTAL,408
026-020,BALLOTS CAST - TOTAL,246
026-021,BALLOTS CAST - TOTAL,234
026-022,BALLOTS CAST - TOTAL,259
026-023,BALLOTS CAST - TOTAL,297
026-024,BALLOTS CAST - TOTAL,601
026-025,BALLOTS CAST - TOTAL,365
026-026,BALLOTS CAST - TOTAL,587
026-027,BALLOTS CAST - TOTAL,561
026-028,BALLOTS CAST - TOTAL,424
026-029,BALLOTS CAST - TOTAL,1264
026-030,BALLOTS CAST - TOTAL,372
026-031,BALLOTS CAST - TOTAL,324
026-032,BALLOTS CAST - TOTAL,507
026-033,BALLOTS CAST - TOTAL,306
027-001,BALLOTS CAST - TOTAL,882
027-002,BALLOTS CAST - TOTAL,430
027-003,BALLOTS CAST - TOTAL,481
027-004,BALLOTS CAST - TOTAL,275
027-005,BALLOTS CAST - TOTAL,1043
027-006,BALLOTS CAST - TOTAL,1100
027-007,BALLOTS CAST - TOTAL,366
027-008,BALLOTS CAST - TOTAL,920
027-009,BALLOTS CAST - TOTAL,653
027-010,BALLOTS CAST - TOTAL,320
027-011,BALLOTS CAST - TOTAL,1026
027-012,BALLOTS CAST - TOTAL,259
027-013,BALLOTS CAST - TOTAL,836
027-014,BALLOTS CAST - TOTAL,1149
027-015,BALLOTS CAST - TOTAL,792
027-016,BALLOTS CAST - TOTAL,410
027-017,BALLOTS CAST - TOTAL,559
027-018,BALLOTS CAST - TOTAL,616
027-019,BALLOTS CAST - TOTAL,384
027-020,BALLOTS CAST - TOTAL,970
027-021,BALLOTS CAST - TOTAL,771
027-022,BALLOTS CAST - TOTAL,1075
027-023,BALLOTS CAST - TOTAL,243
027-024,BALLOTS CAST - TOTAL,163
027-025,BALLOTS CAST - TOTAL,456
027-026,BALLOTS CAST - TOTAL,504
027-027,BALLOTS CAST - TOTAL,647
027-028,BALLOTS CAST - TOTAL,457
027-029,BALLOTS CAST - TOTAL,265
027-030,BALLOTS CAST - TOTAL,478
027-031,BALLOTS CAST - TOTAL,821
027-032,BALLOTS CAST - TOTAL,1098
027-033,BALLOTS CAST - TOTAL,936
027-034,BALLOTS CAST - TOTAL,668
027-035,BALLOTS CAST - TOTAL,811
027-036,BALLOTS CAST - TOTAL,231
027-037,BALLOTS CAST - TOTAL,953
027-038,BALLOTS CAST - TOTAL,50
027-039,BALLOTS CAST - TOTAL,280
027-040,BALLOTS CAST - TOTAL,1426
027-041,BALLOTS CAST - TOTAL,753
027-042,BALLOTS CAST - TOTAL,1046
027-043,BALLOTS CAST - TOTAL,552
027-044,BALLOTS CAST - TOTAL,817
027-045,BALLOTS CAST - TOTAL,1156
027-046,BALLOTS CAST - TOTAL,511
027-047,BALLOTS CAST - TOTAL,633
027-048,BALLOTS CAST - TOTAL,537
027-049,BALLOTS CAST - TOTAL,1863
027-050,BALLOTS CAST - TOTAL,748
027-051,BALLOTS CAST - TOTAL,72
027-052,BALLOTS CAST - TOTAL,675
027-053,BALLOTS CAST - TOTAL,366
027-054,BALLOTS CAST - TOTAL,162
027-055,BALLOTS CAST - TOTAL,132
027-056,BALLOTS CAST - TOTAL,212
027-057,BALLOTS CAST - TOTAL,493
027-058,BALLOTS CAST - TOTAL,198
027-059,BALLOTS CAST - TOTAL,402
027-060,BALLOTS CAST - TOTAL,569
027-061,BALLOTS CAST - TOTAL,304
027-062,BALLOTS CAST - TOTAL,773
027-063,BALLOTS CAST - TOTAL,728
027-064,BALLOTS CAST - TOTAL,816
027-065,BALLOTS CAST - TOTAL,1234
027-066,BALLOTS CAST - TOTAL,1003
027-067,BALLOTS CAST - TOTAL,755
027-069,BALLOTS CAST - TOTAL,82
028-001,BALLOTS CAST - TOTAL,447
028-002,BALLOTS CAST - TOTAL,739
028-003,BALLOTS CAST - TOTAL,163
028-004,BALLOTS CAST - TOTAL,241
028-005,BALLOTS CAST - TOTAL,560
028-006,BALLOTS CAST - TOTAL,830
028-007,BALLOTS CAST - TOTAL,429
028-008,BALLOTS CAST - TOTAL,504
028-009,BALLOTS CAST - TOTAL,639
028-010,BALLOTS CAST - TOTAL,824
028-011,BALLOTS CAST - TOTAL,804
028-012,BALLOTS CAST - TOTAL,640
028-013,BALLOTS CAST - TOTAL,596
028-014,BALLOTS CAST - TOTAL,178
028-015,BALLOTS CAST - TOTAL,723
001-001,BALLOTS CAST - BLANK,171
001-002,BALLOTS CAST - BLANK,39
001-003,BALLOTS CAST - BLANK,30
001-004,BALLOTS CAST - BLANK,37
001-005,BALLOTS CAST - BLANK,34
002-001,BALLOTS CAST - BLANK,12
002-002,BALLOTS CAST - BLANK,22
002-003,BALLOTS CAST - BLANK,53
003-001,BALLOTS CAST - BLANK,4
003-002,BALLOTS CAST - BLANK,11
003-003,BALLOTS CAST - BLANK,37
004-001,BALLOTS CAST - BLANK,27
004-002,BALLOTS CAST - BLANK,69
004-003,BALLOTS CAST - BLANK,13
005-001,BALLOTS CAST - BLANK,18
005-002,BALLOTS CAST - BLANK,1
006-001,BALLOTS CAST - BLANK,0
006-002,BALLOTS CAST - BLANK,29
006-003,BALLOTS CAST - BLANK,13
006-004,BALLOTS CAST - BLANK,19
006-005,BALLOTS CAST - BLANK,28
007-001,BALLOTS CAST - BLANK,11
007-002,BALLOTS CAST - BLANK,2
007-003,BALLOTS CAST - BLANK,28
007-004,BALLOTS CAST - BLANK,12
008-001,BALLOTS CAST - BLANK,0
008-002,BALLOTS CAST - BLANK,11
008-003,BALLOTS CAST - BLANK,24
008-004,BALLOTS CAST - BLANK,3
008-005,BALLOTS CAST - BLANK,7
008-006,BALLOTS CAST - BLANK,31
008-007,BALLOTS CAST - BLANK,26
008-008,BALLOTS CAST - BLANK,20
008-009,BALLOTS CAST - BLANK,0
008-010,BALLOTS CAST - BLANK,59
008-011,BALLOTS CAST - BLANK,7
009-001,BALLOTS CAST - BLANK,12
009-002,BALLOTS CAST - BLANK,9
009-003,BALLOTS CAST - BLANK,13
009-004,BALLOTS CAST - BLANK,39
009-005,BALLOTS CAST - BLANK,23
009-006,BALLOTS CAST - BLANK,32
009-007,BALLOTS CAST - BLANK,10
009-008,BALLOTS CAST - BLANK,25
009-009,BALLOTS CAST - BLANK,9
009-010,BALLOTS CAST - BLANK,11
009-011,BALLOTS CAST - BLANK,4
009-012,BALLOTS CAST - BLANK,13
009-013,BALLOTS CAST - BLANK,13
009-014,BALLOTS CAST - BLANK,10
009-015,BALLOTS CAST - BLANK,19
010-001,BALLOTS CAST - BLANK,18
010-002,BALLOTS CAST - BLANK,35
010-003,BALLOTS CAST - BLANK,1
010-004,BALLOTS CAST - BLANK,8
011-001,BALLOTS CAST - BLANK,18
011-002,BALLOTS CAST - BLANK,14
011-003,BALLOTS CAST - BLANK,35
011-004,BALLOTS CAST - BLANK,10
011-005,BALLOTS CAST - BLANK,23
011-006,BALLOTS CAST - BLANK,49
011-007,BALLOTS CAST - BLANK,22
011-008,BALLOTS CAST - BLANK,0
012-001,BALLOTS CAST - BLANK,49
012-002,BALLOTS CAST - BLANK,3
012-003,BALLOTS CAST - BLANK,9
012-004,BALLOTS CAST - BLANK,18
012-005,BALLOTS CAST - BLANK,10
012-006,BALLOTS CAST - BLANK,12
012-007,BALLOTS CAST - BLANK,13
012-008,BALLOTS CAST - BLANK,42
012-009,BALLOTS CAST - BLANK,2
012-010,BALLOTS CAST - BLANK,26
012-011,BALLOTS CAST - BLANK,8
012-012,BALLOTS CAST - BLANK,21
013-001,BALLOTS CAST - BLANK,30
013-002,BALLOTS CAST - BLANK,39
013-003,BALLOTS CAST - BLANK,10
013-004,BALLOTS CAST - BLANK,44
013-005,BALLOTS CAST - BLANK,22
013-006,BALLOTS CAST - BLANK,3
013-007,BALLOTS CAST - BLANK,15
013-008,BALLOTS CAST - BLANK,27
013-009,BALLOTS CAST - BLANK,8
013-010,BALLOTS CAST - BLANK,21
013-011,BALLOTS CAST - BLANK,31
013-012,BALLOTS CAST - BLANK,33
014-001,BALLOTS CAST - BLANK,27
014-002,BALLOTS CAST - BLANK,33
014-003,BALLOTS CAST - BLANK,11
014-004,BALLOTS CAST - BLANK,23
014-005,BALLOTS CAST - BLANK,2
015-001,BALLOTS CAST - BLANK,18
015-002,BALLOTS CAST - BLANK,6
015-003,BALLOTS CAST - BLANK,36
015-004,BALLOTS CAST - BLANK,14
015-005,BALLOTS CAST - BLANK,39
015-006,BALLOTS CAST - BLANK,19
015-007,BALLOTS CAST - BLANK,6
015-008,BALLOTS CAST - BLANK,11
015-009,BALLOTS CAST - BLANK,30
015-010,BALLOTS CAST - BLANK,10
015-011,BALLOTS CAST - BLANK,16
015-012,BALLOTS CAST - BLANK,6
015-013,BALLOTS CAST - BLANK,20
015-014,BALLOTS CAST - BLANK,10
015-015,BALLOTS CAST - BLANK,3
015-016,BALLOTS CAST - BLANK,6
015-017,BALLOTS CAST - BLANK,13
015-018,BALLOTS CAST - BLANK,14
015-019,BALLOTS CAST - BLANK,6
015-020,BALLOTS CAST - BLANK,27
015-021,BALLOTS CAST - BLANK,16
015-022,BALLOTS CAST - BLANK,14
015-023,BALLOTS CAST - BLANK,16
015-024,BALLOTS CAST - BLANK,20
015-025,BALLOTS CAST - BLANK,7
016-001,BALLOTS CAST - BLANK,1
016-002,BALLOTS CAST - BLANK,4
016-003,BALLOTS CAST - BLANK,6
016-004,BALLOTS CAST - BLANK,3
016-005,BALLOTS CAST - BLANK,11
016-006,BALLOTS CAST - BLANK,14
016-007,BALLOTS CAST - BLANK,15
016-008,BALLOTS CAST - BLANK,18
016-009,BALLOTS CAST - BLANK,19
016-010,BALLOTS CAST - BLANK,14
016-011,BALLOTS CAST - BLANK,14
016-012,BALLOTS CAST - BLANK,17
016-013,BALLOTS CAST - BLANK,20
016-014,BALLOTS CAST - BLANK,49
017-001,BALLOTS CAST - BLANK,1
017-002,BALLOTS CAST - BLANK,45
018-001,BALLOTS CAST - BLANK,8
018-002,BALLOTS CAST - BLANK,10
019-001,BALLOTS CAST - BLANK,11
019-002,BALLOTS CAST - BLANK,4
019-003,BALLOTS CAST - BLANK,0
020-001,BALLOTS CAST - BLANK,18
020-002,BALLOTS CAST - BLANK,17
020-003,BALLOTS CAST - BLANK,27
020-004,BALLOTS CAST - BLANK,3
020-005,BALLOTS CAST - BLANK,6
020-006,BALLOTS CAST - BLANK,66
020-007,BALLOTS CAST - BLANK,61
020-008,BALLOTS CAST - BLANK,5
020-009,BALLOTS CAST - BLANK,2
020-010,BALLOTS CAST - BLANK,8
020-011,BALLOTS CAST - BLANK,6
021-001,BALLOTS CAST - BLANK,10
021-002,BALLOTS CAST - BLANK,24
021-003,BALLOTS CAST - BLANK,16
021-004,BALLOTS CAST - BLANK,1
022-001,BALLOTS CAST - BLANK,34
022-002,BALLOTS CAST - BLANK,35
023-001,BALLOTS CAST - BLANK,16
023-002,BALLOTS CAST - BLANK,14
023-003,BALLOTS CAST - BLANK,17
024-001,BALLOTS CAST - BLANK,6
024-002,BALLOTS CAST - BLANK,12
024-003,BALLOTS CAST - BLANK,20
024-004,BALLOTS CAST - BLANK,36
024-005,BALLOTS CAST - BLANK,65
025-001,BALLOTS CAST - BLANK,43
025-002,BALLOTS CAST - BLANK,21
025-003,BALLOTS CAST - BLANK,10
025-004,BALLOTS CAST - BLANK,25
025-005,BALLOTS CAST - BLANK,14
025-006,BALLOTS CAST - BLANK,16
025-007,BALLOTS CAST - BLANK,3
025-008,BALLOTS CAST - BLANK,20
025-009,BALLOTS CAST - BLANK,19
025-010,BALLOTS CAST - BLANK,28
025-011,BALLOTS CAST - BLANK,9
025-012,BALLOTS CAST - BLANK,14
025-013,BALLOTS CAST - BLANK,2
025-014,BALLOTS CAST - BLANK,7
025-015,BALLOTS CAST - BLANK,12
025-016,BALLOTS CAST - BLANK,18
025-017,BALLOTS CAST - BLANK,20
026-001,BALLOTS CAST - BLANK,5
026-002,BALLOTS CAST - BLANK,9
026-003,BALLOTS CAST - BLANK,8
026-004,BALLOTS CAST - BLANK,28
026-005,BALLOTS CAST - BLANK,12
026-006,BALLOTS CAST - BLANK,34
026-007,BALLOTS CAST - BLANK,28
026-008,BALLOTS CAST - BLANK,22
026-009,BALLOTS CAST - BLANK,36
026-010,BALLOTS CAST - BLANK,25
026-011,BALLOTS CAST - BLANK,13
026-012,BALLOTS CAST - BLANK,11
026-013,BALLOTS CAST - BLANK,9
026-014,BALLOTS CAST - BLANK,10
026-015,BALLOTS CAST - BLANK,12
026-016,BALLOTS CAST - BLANK,13
026-017,BALLOTS CAST - BLANK,1
026-018,BALLOTS CAST - BLANK,23
026-019,BALLOTS CAST - BLANK,13
026-020,BALLOTS CAST - BLANK,12
026-021,BALLOTS CAST - BLANK,10
026-022,BALLOTS CAST - BLANK,12
026-023,BALLOTS CAST - BLANK,14
026-024,BALLOTS CAST - BLANK,30
026-025,BALLOTS CAST - BLANK,17
026-026,BALLOTS CAST - BLANK,18
026-027,BALLOTS CAST - BLANK,29
026-028,BALLOTS CAST - BLANK,23
026-029,BALLOTS CAST - BLANK,40
026-030,BALLOTS CAST - BLANK,19
026-031,BALLOTS CAST - BLANK,9
026-032,BALLOTS CAST - BLANK,12
026-033,BALLOTS CAST - BLANK,12
027-001,BALLOTS CAST - BLANK,19
027-002,BALLOTS CAST - BLANK,14
027-003,BALLOTS CAST - BLANK,19
027-004,BALLOTS CAST - BLANK,14
027-005,BALLOTS CAST - BLANK,22
027-006,BALLOTS CAST - BLANK,34
027-007,BALLOTS CAST - BLANK,17
027-008,BALLOTS CAST - BLANK,37
027-009,BALLOTS CAST - BLANK,13
027-010,BALLOTS CAST - BLANK,8
027-011,BALLOTS CAST - BLANK,36
027-012,BALLOTS CAST - BLANK,7
027-013,BALLOTS CAST - BLANK,21
027-014,BALLOTS CAST - BLANK,29
027-015,BALLOTS CAST - BLANK,26
027-016,BALLOTS CAST - BLANK,13
027-017,BALLOTS CAST - BLANK,27
027-018,BALLOTS CAST - BLANK,31
027-019,BALLOTS CAST - BLANK,33
027-020,BALLOTS CAST - BLANK,37
027-021,BALLOTS CAST - BLANK,22
027-022,BALLOTS CAST - BLANK,40
027-023,BALLOTS CAST - BLANK,7
027-024,BALLOTS CAST - BLANK,7
027-025,BALLOTS CAST - BLANK,16
027-026,BALLOTS CAST - BLANK,23
027-027,BALLOTS CAST - BLANK,20
027-028,BALLOTS CAST - BLANK,15
027-029,BALLOTS CAST - BLANK,8
027-030,BALLOTS CAST - BLANK,25
027-031,BALLOTS CAST - BLANK,37
027-032,BALLOTS CAST - BLANK,24
027-033,BALLOTS CAST - BLANK,26
027-034,BALLOTS CAST - BLANK,23
027-035,BALLOTS CAST - BLANK,27
027-036,BALLOTS CAST - BLANK,10
027-037,BALLOTS CAST - BLANK,49
027-038,BALLOTS CAST - BLANK,0
027-039,BALLOTS CAST - BLANK,12
027-040,BALLOTS CAST - BLANK,47
027-041,BALLOTS CAST - BLANK,17
027-042,BALLOTS CAST - BLANK,41
027-043,BALLOTS CAST - BLANK,28
027-044,BALLOTS CAST - BLANK,30
027-045,BALLOTS CAST - BLANK,40
027-046,BALLOTS CAST - BLANK,19
027-047,BALLOTS CAST - BLANK,29
027-048,BALLOTS CAST - BLANK,21
027-049,BALLOTS CAST - BLANK,130
027-050,BALLOTS CAST - BLANK,30
027-051,BALLOTS CAST - BLANK,8
027-052,BALLOTS CAST - BLANK,26
027-053,BALLOTS CAST - BLANK,19
027-054,BALLOTS CAST - BLANK,12
027-055,BALLOTS CAST - BLANK,0
027-056,BALLOTS CAST - BLANK,8
027-057,BALLOTS CAST - BLANK,32
027-058,BALLOTS CAST - BLANK,13
027-059,BALLOTS CAST - BLANK,37
027-060,BALLOTS CAST - BLANK,39
027-061,BALLOTS CAST - BLANK,29
027-062,BALLOTS CAST - BLANK,110
027-063,BALLOTS CAST - BLANK,74
027-064,BALLOTS CAST - BLANK,96
027-065,BALLOTS CAST - BLANK,137
027-066,BALLOTS CAST - BLANK,145
027-067,BALLOTS CAST - BLANK,81
027-069,BALLOTS CAST - BLANK,2
028-001,BALLOTS CAST - BLANK,30
028-002,BALLOTS CAST - BLANK,35
028-003,BALLOTS CAST - BLANK,1
028-004,BALLOTS CAST - BLANK,13
028-005,BALLOTS CAST - BLANK,32
028-006,BALLOTS CAST - BLANK,24
028-007,BALLOTS CAST - BLANK,17
028-008,BALLOTS CAST - BLANK,27
028-009,BALLOTS CAST - BLANK,22
028-010,BALLOTS CAST - BLANK,34
028-011,BALLOTS CAST - BLANK,29
028-012,BALLOTS CAST - BLANK,15
028-013,BALLOTS CAST - BLANK,26
028-014,BALLOTS CAST - BLANK,7
028-015,BALLOTS CAST - BLANK,29
