Precinct,Councilmanic,Voted_Female,Voted_Male,Voted_UnknownSex,Voted_16to17,Voted_18to29,Voted_30to49,Voted_50to64,Voted_65plus,Voted_UnknownAge,Voted_Total,Voted_Adults,Legislative,Adjusted_Total_Pop,Adjusted_Total_Adult_Pop,Adjusted_Hispanic_Latino_Adult_Pop,Registered_Female,Registered_Male,Registered_UnknownSex,Registered_30to49,Registered_16to17,Registered_18to29,Registered_50to64,Registered_65plus,Registered_UnknownAge,Registered_Under16,Registered_Total,Registered_Adults
10-001,012,264,135,0,0,47,86,134,103,29,399,370,45,1239,978,24,737,589,1,410,8,222,371,313,3,0,1327,1316
10-002,012,255,122,0,0,29,60,94,171,23,377,354,45,1495,1119,12,968,687,1,415,5,194,418,622,2,0,1656,1649
10-003,012,42,35,0,1,7,20,32,14,3,77,73,46,1229,937,16,399,467,1,313,5,121,284,142,2,0,867,860
10-004,012,124,75,0,0,10,38,57,82,12,199,187,45,733,622,9,492,464,1,224,3,103,270,356,1,0,957,953
01-001,001,341,262,0,0,112,307,85,56,43,603,560,46,1901,1657,174,1100,1005,5,1127,3,409,285,286,0,0,2110,2107
01-002,001,396,302,1,0,143,281,130,84,61,699,638,46,2485,2176,210,1444,1337,5,1402,3,507,468,406,0,0,2786,2783
01-003,001,327,262,1,1,130,221,85,104,49,590,540,46,2038,1859,121,1352,1268,2,1259,2,565,350,446,0,0,2622,2620
01-004,001,449,378,2,1,142,279,170,177,60,829,768,46,3159,2918,153,1910,1839,3,1735,4,655,618,740,0,0,3752,3748
01-005,001,573,474,3,0,251,495,127,122,55,1050,995,46,3580,3233,178,2227,2093,7,2211,1,968,492,654,1,0,4327,4325
11-001,012,309,275,3,0,155,212,85,91,44,587,543,45,2215,2111,170,1334,1286,10,1479,2,503,334,310,2,0,2630,2626
11-002,011,85,88,0,0,28,50,51,38,6,173,167,45,762,725,59,452,487,3,367,0,168,179,228,0,0,942,942
11-003,011,330,302,0,1,75,174,168,180,34,632,597,40,2334,2138,124,1218,1041,5,936,7,357,449,514,1,0,2264,2256
11-004,011,12,6,0,0,3,10,1,3,1,18,17,44,126,91,7,41,54,0,43,1,19,18,14,0,0,95,94
11-005,011,411,284,6,0,174,232,161,87,47,701,654,40,2260,1904,74,1856,1590,15,1653,3,697,705,400,3,0,3461,3455
11-006,011,354,272,2,1,109,141,106,238,33,628,594,40,3478,3339,199,1808,1709,11,1452,1,525,575,969,6,0,3528,3521
11-007,012,251,280,2,1,143,193,97,60,39,533,493,45,2028,1966,131,1169,1279,5,1346,4,509,365,227,2,0,2453,2447
12-001,014,788,620,1,7,93,250,299,703,57,1409,1345,43,4634,4218,191,2253,1950,9,1320,11,479,751,1650,1,0,4212,4200
12-002,014,69,63,1,0,17,30,38,41,7,133,126,43,315,252,15,176,187,1,117,3,61,92,91,0,0,364,361
12-003,014,156,139,1,0,54,150,41,34,17,296,279,43,1137,1034,63,472,443,2,489,1,179,137,111,0,0,917,916
12-004,014,257,186,0,1,61,122,117,119,23,443,419,43,4410,4227,429,1403,1315,14,1111,7,942,315,351,5,1,2732,2719
12-005,014,277,226,1,0,111,212,87,64,30,504,474,43,2257,2095,156,978,908,9,967,2,432,289,205,0,0,1895,1893
12-006,014,180,163,0,0,97,128,49,45,24,343,319,43,1561,1473,148,798,758,3,867,1,359,195,136,1,0,1559,1557
12-007,012,337,236,2,1,114,246,96,88,30,575,544,43,1787,1493,129,1002,935,5,810,8,383,386,353,2,0,1942,1932
12-008,012,639,555,3,1,256,467,205,184,84,1197,1112,43,2152,1954,168,2281,2331,12,2002,8,792,930,887,5,0,4624,4611
12-009,012,44,34,0,0,24,28,10,9,7,78,71,43,2377,2137,170,158,177,1,157,0,59,62,57,1,0,336,335
12-010,012,334,225,1,0,90,194,149,94,33,560,527,43,2397,2093,165,1406,1450,5,1006,3,453,767,628,4,0,2861,2854
12-011,012,82,105,1,0,23,55,67,40,3,188,185,43,1405,1154,54,514,628,4,297,0,128,357,363,1,0,1146,1145
12-012,012,372,281,3,2,128,291,123,71,41,656,613,45,2294,2000,126,1232,1275,11,1140,5,482,544,343,4,0,2518,2509
13-001,014,347,261,0,2,43,108,80,355,20,608,586,41,2258,2059,65,1170,800,4,414,8,142,199,1211,0,0,1974,1966
13-002,014,486,385,0,2,100,315,160,251,43,871,826,40,1547,1408,49,1425,1142,4,882,4,314,434,937,0,0,2571,2567
13-003,007,173,112,0,0,38,159,38,32,18,285,267,40,2701,2379,114,481,424,3,493,1,144,148,122,0,0,908,907
13-004,007,672,522,1,0,207,556,185,172,75,1195,1120,40,1556,1302,62,1886,1642,4,1690,6,589,582,662,3,0,3532,3523
13-005,007,245,184,2,2,55,176,98,75,25,431,404,40,1136,994,46,729,640,6,593,5,195,245,337,0,0,1375,1370
13-006,007,112,89,0,1,22,29,78,62,9,201,191,40,858,689,12,445,416,0,246,3,119,267,220,6,0,861,852
13-007,007,227,138,0,0,39,62,115,126,23,365,342,40,1625,1301,27,923,834,3,525,6,252,438,532,7,0,1760,1747
13-008,007,385,238,0,0,61,172,202,164,24,623,599,40,2221,1769,48,1160,1084,4,758,9,314,645,515,7,0,2248,2232
13-009,007,250,209,0,1,55,153,138,89,23,459,435,40,1582,1338,26,914,946,2,597,4,224,567,458,12,0,1862,1846
13-010,007,340,264,1,0,71,183,151,161,39,605,566,40,1926,1609,37,1006,1001,4,778,5,280,511,435,2,0,2011,2004
13-011,014,652,535,1,2,184,633,157,131,81,1188,1105,43,2665,2387,99,1824,1661,6,1910,6,560,501,514,0,0,3491,3485
13-012,014,382,287,1,0,63,336,109,130,32,670,638,40,1989,1757,51,1013,830,3,970,4,219,301,352,0,0,1846,1842
14-001,011,214,176,0,0,54,125,79,112,20,390,370,40,2055,1934,144,1009,739,7,732,4,355,253,409,2,0,1755,1749
14-002,011,208,216,0,2,36,80,120,170,16,424,406,40,1153,986,31,751,704,3,416,10,188,278,565,0,1,1458,1447
14-003,011,121,77,0,0,31,60,46,51,10,198,188,44,1355,933,18,589,492,1,392,6,220,238,221,4,1,1082,1071
14-004,011,464,325,0,5,86,214,207,239,38,789,746,44,3069,2514,56,1792,1621,5,1141,14,465,902,885,10,1,3418,3393
14-005,007,91,58,1,0,20,28,50,46,6,150,144,40,609,483,10,347,339,2,194,2,91,185,214,2,0,688,684
15-001,006,353,210,0,0,48,140,177,174,24,563,539,41,2047,1679,36,1052,924,4,540,4,286,519,623,7,1,1980,1968
15-002,006,220,144,0,0,46,80,107,108,23,364,341,41,1337,1039,21,636,561,1,317,3,170,307,401,0,0,1198,1195
15-003,006,572,308,0,0,81,182,267,311,39,880,841,41,2875,2306,58,1528,1140,3,669,12,368,672,948,2,0,2671,2657
15-004,006,307,174,0,1,50,122,130,150,28,481,452,40,1108,896,13,762,572,2,368,6,199,354,407,2,0,1336,1328
15-005,007,393,243,0,1,75,158,181,199,22,636,613,40,1514,1254,35,916,695,2,449,5,241,356,562,0,0,1613,1608
15-006,007,447,260,0,2,75,179,205,219,27,707,678,40,2104,1646,20,1202,966,4,620,9,312,510,717,4,0,2172,2159
15-007,007,316,208,1,0,62,124,159,154,26,525,499,41,1935,1538,38,988,796,2,520,9,304,448,504,1,0,1786,1776
15-008,006,222,145,0,0,35,71,107,134,20,367,347,41,877,710,14,505,423,0,225,1,110,231,361,0,0,928,927
15-009,006,594,317,1,0,87,215,232,337,41,912,871,41,3513,2752,48,1817,1585,3,1028,11,487,839,1031,8,1,3405,3385
15-010,006,351,229,1,1,55,128,159,205,33,581,547,41,1875,1537,32,925,809,3,464,5,232,456,580,0,0,1737,1732
15-011,007,256,162,0,1,46,101,121,123,26,418,391,41,1831,1449,27,863,813,1,469,11,278,447,468,4,0,1677,1662
15-012,007,47,22,0,0,3,21,20,21,4,69,65,41,387,302,5,199,186,1,96,1,53,107,126,3,0,386,382
15-013,007,138,88,2,1,19,45,76,78,9,228,218,40,936,733,4,514,523,2,310,4,120,319,281,5,0,1039,1030
15-014,007,339,170,0,0,40,114,144,193,18,509,491,40,1690,1330,10,1091,791,2,507,7,221,481,665,3,0,1884,1874
15-015,007,126,55,0,0,20,28,73,54,6,181,175,40,911,677,8,543,472,1,310,2,137,258,305,4,0,1016,1010
15-016,007,161,87,0,1,34,59,80,71,3,248,244,40,915,706,2,566,505,0,302,6,143,284,332,4,0,1071,1061
15-017,007,255,146,0,0,40,97,109,131,24,401,377,40,1791,1407,9,1162,1004,2,690,6,314,522,629,7,0,2168,2155
15-018,007,428,248,0,1,55,162,237,171,50,676,625,40,3287,2496,46,1852,1619,4,1110,10,483,1093,768,10,1,3475,3454
15-019,007,16,9,0,0,3,3,9,10,0,25,25,44,96,72,5,52,58,0,29,0,14,33,33,1,0,110,109
15-020,007,502,243,1,0,61,137,240,271,37,746,709,40,3296,2776,71,1795,1397,4,886,10,451,830,1012,7,0,3196,3179
15-021,007,274,132,0,0,35,82,102,162,25,406,381,40,1481,1211,18,801,623,4,388,3,175,353,506,3,0,1428,1422
15-022,006,251,149,0,1,30,72,112,167,18,400,381,40,1225,924,14,996,863,0,467,5,207,467,712,1,0,1859,1853
15-023,006,322,174,0,1,47,117,152,156,23,496,472,40,2381,1943,33,1170,997,3,664,8,280,610,604,3,1,2170,2158
15-024,006,403,213,1,0,57,131,169,232,28,617,589,40,2417,1837,30,1380,1159,5,772,15,360,647,745,5,0,2544,2524
15-025,006,123,66,0,0,11,41,64,68,5,189,184,40,1019,881,34,484,599,1,322,2,123,333,303,1,0,1084,1081
16-001,009,129,87,1,0,16,60,76,54,11,217,206,44,989,745,20,487,477,2,303,7,139,284,231,2,0,966,957
16-002,009,203,157,0,1,14,76,103,147,19,360,340,40,1593,1316,30,860,899,0,477,4,169,452,653,4,0,1759,1751
16-003,009,116,77,0,0,13,36,56,80,8,193,185,44,1001,805,19,617,596,5,341,4,146,331,394,2,0,1218,1212
16-004,009,78,50,1,0,16,25,45,34,9,129,120,44,662,510,11,419,434,1,252,3,116,202,276,5,0,854,846
16-005,009,329,179,1,1,45,108,183,143,29,509,479,44,2073,1686,15,1302,1094,2,643,7,262,646,836,4,0,2398,2387
16-006,009,349,195,0,1,66,116,162,164,35,544,508,40,2124,1702,28,1180,895,2,574,8,305,528,657,4,1,2077,2064
16-007,009,308,170,1,1,47,114,145,145,27,479,451,44,1662,1264,24,958,778,1,488,6,248,462,530,3,0,1737,1728
16-008,009,194,109,0,0,27,62,86,116,12,303,291,40,1000,775,11,634,538,2,303,4,154,303,407,3,0,1174,1167
16-009,009,244,159,1,0,37,70,128,144,25,404,379,40,1642,1276,13,1053,865,3,482,4,215,500,717,3,0,1921,1914
16-010,009,164,82,0,0,16,58,68,90,14,246,232,40,1099,837,12,621,490,0,317,5,157,279,352,0,1,1111,1105
16-011,009,120,65,0,0,11,49,62,54,9,185,176,40,1001,788,20,450,392,2,236,3,129,204,269,3,0,844,838
16-012,009,303,168,0,0,54,112,134,143,28,471,443,40,2313,1693,28,1094,908,1,607,3,343,455,588,6,1,2003,1993
16-013,008,359,184,0,2,56,127,148,181,29,543,512,41,2051,1537,25,1136,887,4,597,11,344,459,610,6,0,2027,2010
16-014,008,781,429,2,8,124,289,344,379,68,1212,1136,41,3691,2910,45,2039,1568,5,1071,18,533,887,1094,9,0,3612,3585
17-001,011,32,23,0,0,4,8,22,21,0,55,55,44,268,210,6,134,118,0,75,1,45,69,62,0,0,252,251
17-002,011,560,325,1,1,85,199,289,260,52,886,833,40,3984,3103,87,2231,1883,6,1168,13,603,1102,1230,4,0,4120,4103
18-001,009,187,101,0,0,24,69,120,62,13,288,275,40,1743,1209,14,787,601,2,446,3,208,426,303,4,0,1390,1383
18-002,009,251,198,1,1,67,165,116,75,26,450,423,40,2310,1877,118,1222,1256,4,949,8,401,623,496,5,0,2482,2469
19-001,009,207,123,1,1,34,70,121,94,11,331,319,44,1661,1294,55,855,762,2,519,5,230,477,385,3,0,1619,1611
19-002,009,235,182,1,1,42,152,120,77,26,418,391,40,3332,2497,299,1330,1389,9,1034,8,412,725,537,12,0,2728,2708
19-003,009,38,27,0,0,1,8,21,31,4,65,61,44,294,254,6,161,143,0,61,1,25,70,147,0,0,304,303
20-001,009,263,144,1,0,46,75,127,145,15,408,393,44,1840,1442,8,1075,945,5,578,6,288,520,626,7,0,2025,2012
20-002,009,91,65,0,0,9,44,60,35,8,156,148,44,945,742,26,442,390,0,276,2,118,242,192,2,0,832,828
20-003,009,314,183,0,0,40,96,152,190,19,497,478,44,2150,1677,39,1218,1117,3,646,4,299,602,776,11,0,2338,2323
20-004,009,42,39,0,0,4,17,29,25,6,81,75,44,244,191,0,132,133,0,74,0,34,66,89,2,0,265,263
20-005,009,209,104,0,0,32,65,101,98,17,313,296,41,1261,952,47,653,583,1,358,6,168,312,389,4,0,1237,1227
20-006,008,734,381,0,2,90,213,347,408,55,1115,1058,41,3421,2700,18,2162,1713,2,1000,15,523,949,1388,2,0,3877,3860
20-007,008,428,270,0,0,59,150,216,225,48,698,650,41,2759,2184,57,1348,1221,1,767,9,375,663,753,3,0,2570,2558
20-008,008,135,76,0,0,22,46,70,66,7,211,204,44,889,704,19,488,358,3,265,1,158,226,199,0,0,849,848
20-009,010,89,50,0,0,12,39,44,32,12,139,127,44,1034,803,73,435,393,1,290,5,130,197,204,3,0,829,821
02-001,013,221,186,2,1,107,162,59,54,26,409,382,46,1636,1409,273,805,776,5,806,1,325,222,228,4,0,1586,1581
20-010,009,66,47,0,2,12,17,26,52,4,113,107,40,913,677,45,395,337,2,209,4,87,189,243,2,0,734,728
20-011,009,106,90,0,0,20,46,78,45,7,196,189,40,2181,1564,107,959,950,5,688,5,300,506,409,5,1,1914,1903
02-002,001,304,255,2,1,137,238,100,53,32,561,528,46,2445,2148,340,1276,1220,5,1280,4,526,341,350,0,0,2501,2497
02-003,001,408,362,0,1,147,255,154,171,42,770,727,46,3395,3143,225,1931,1970,14,1941,5,677,682,609,1,0,3915,3909
21-001,011,149,105,1,0,83,96,35,26,15,255,240,40,1149,1054,56,794,751,3,879,1,405,166,96,1,0,1548,1546
21-002,010,295,232,0,0,117,172,106,106,26,527,501,40,1925,1663,104,1051,1072,2,905,3,443,381,390,2,1,2125,2119
21-003,010,324,238,0,0,116,178,161,75,32,562,530,40,2607,2071,97,1356,1231,7,1027,4,526,602,422,13,0,2594,2577
21-004,010,52,49,0,0,19,47,16,10,9,101,92,46,725,636,20,208,255,0,190,2,91,105,74,1,0,463,460
22-001,011,358,241,0,0,74,79,99,324,23,599,576,46,2026,1968,83,1137,843,3,487,0,269,262,963,2,0,1983,1981
22-002,011,378,324,0,4,103,197,170,195,33,702,665,46,1828,1628,101,1141,1147,3,949,6,384,477,475,0,0,2291,2285
23-001,011,221,191,0,0,146,139,62,34,31,412,381,46,1759,1604,84,1056,1124,2,1008,2,655,275,241,1,0,2182,2179
23-002,011,186,158,1,0,98,121,61,45,20,345,325,46,1745,1517,55,753,864,1,622,2,503,294,197,0,0,1618,1616
23-003,011,305,273,0,0,196,200,75,62,45,578,533,46,2714,2539,113,1390,1505,3,1269,2,982,346,299,0,0,2898,2896
24-001,011,168,145,1,0,52,75,86,87,14,314,300,46,933,808,23,557,561,2,424,4,199,235,258,0,0,1120,1116
24-002,011,142,139,0,0,88,106,41,28,18,281,263,46,1153,1054,45,647,658,0,625,1,385,147,146,1,0,1305,1303
24-003,011,425,341,0,0,121,274,160,169,42,766,724,46,2066,1910,72,1446,1298,3,1202,6,477,546,516,0,0,2747,2741
24-004,011,534,424,0,0,224,450,130,105,49,958,909,46,3082,2695,136,1847,1809,5,1858,4,878,413,508,0,0,3661,3657
24-005,011,831,709,1,2,281,646,274,231,107,1541,1432,46,4892,4299,190,2600,2545,5,2454,7,1130,819,740,0,0,5150,5143
25-001,008,744,390,1,1,128,316,330,295,65,1135,1069,44,4097,3150,104,1936,1408,5,1158,11,601,832,747,0,0,3349,3338
25-002,008,472,241,2,1,104,192,216,163,39,715,675,44,2870,2183,61,1336,999,4,848,11,451,562,465,2,0,2339,2326
25-003,010,175,94,0,0,31,77,70,77,14,269,255,40,2918,2389,145,625,529,3,378,8,180,276,315,0,0,1157,1149
25-004,010,304,211,0,0,48,119,169,151,28,515,487,40,4313,3385,440,1603,1485,4,981,6,431,871,802,1,0,3092,3085
25-005,010,316,236,2,1,70,118,178,160,27,554,526,46,5024,3520,1301,1168,1150,9,751,10,402,624,538,2,0,2327,2315
25-006,010,196,98,0,0,30,65,95,88,16,294,278,46,1464,1010,54,681,485,0,366,4,189,299,306,2,0,1166,1160
25-007,010,86,47,0,0,18,31,55,22,7,133,126,46,603,453,7,329,302,0,199,0,95,185,152,0,0,631,631
25-008,010,385,159,0,0,73,148,180,115,28,544,516,46,4076,2744,128,1694,1062,2,976,7,539,675,548,13,0,2758,2738
25-009,010,245,106,0,0,33,92,93,116,17,351,334,46,1709,1067,10,919,581,2,520,8,247,333,391,3,0,1502,1491
25-010,010,268,153,0,0,43,117,138,103,20,421,401,46,1868,1408,59,870,743,1,528,5,265,364,449,3,0,1614,1606
25-011,010,84,65,0,0,13,27,61,43,5,149,144,46,1533,1093,441,425,410,0,255,5,106,246,222,1,0,835,829
25-012,010,156,109,0,2,32,54,97,60,20,265,243,46,3002,2085,586,893,795,1,613,9,246,416,404,1,0,1689,1679
25-013,010,75,67,0,0,12,42,49,33,6,142,136,46,1576,1120,230,502,502,2,383,1,137,277,207,1,0,1006,1004
25-014,010,136,75,0,0,32,64,72,30,13,211,198,46,2304,1462,250,774,595,1,542,7,286,328,206,1,0,1370,1362
25-015,010,133,83,0,0,22,62,80,40,12,216,204,46,2405,1789,194,779,627,2,493,6,240,385,281,3,0,1408,1399
25-016,010,170,144,0,0,30,84,103,81,16,314,298,46,2823,2133,272,1019,988,0,738,3,331,515,417,2,1,2007,2001
25-017,010,277,156,0,0,39,100,110,169,15,433,418,40,671,584,40,1356,941,1,560,5,291,415,1027,0,0,2298,2293
26-001,001,26,24,0,0,9,4,17,15,5,50,45,46,675,512,114,223,204,0,128,1,65,103,130,0,0,427,426
26-002,001,221,148,0,0,47,89,114,91,28,369,341,46,3603,2578,983,1151,956,4,662,7,334,564,540,4,0,2111,2100
26-003,001,199,149,0,1,40,56,94,143,14,348,333,46,2860,2142,858,863,819,2,423,10,221,384,645,1,0,1684,1673
26-004,001,132,92,0,0,16,53,66,77,12,224,212,46,2672,1925,902,657,599,3,365,5,118,233,535,3,0,1259,1251
26-005,001,94,50,0,0,21,33,25,53,12,144,132,46,1210,940,347,323,290,1,174,3,72,135,230,0,0,614,611
26-006,001,123,86,0,1,21,55,51,68,13,209,195,46,2004,1448,633,597,598,3,367,2,172,205,452,0,0,1198,1196
26-007,001,218,183,0,0,75,205,44,45,32,401,369,46,2873,2252,707,895,866,2,793,5,361,240,364,0,0,1763,1758
26-008,001,289,191,0,0,124,174,77,73,32,480,448,46,1947,1812,72,1133,978,4,1030,0,641,216,228,0,0,2115,2115
26-009,001,565,459,1,0,184,492,140,151,58,1025,967,46,3705,3284,243,2139,2015,4,2113,5,876,483,679,2,0,4158,4151
26-010,001,356,256,0,0,112,276,99,81,44,612,568,46,4757,3562,1637,1447,1289,6,1181,2,521,463,572,3,0,2742,2737
26-011,002,117,103,0,0,36,60,50,70,4,220,216,46,2660,1925,978,633,721,1,447,1,172,296,439,0,0,1355,1354
26-012,013,60,22,0,0,10,16,25,25,6,82,76,46,1197,871,324,335,302,1,205,5,91,176,159,2,0,638,631
