Councilmanic,Office,Candidate1_Name,Candidate2_Name,Candidate3_Name,Candidate4_Name,Candidate5_Name,Candidate6_Name,Candidate7_Name,Candidate8_Name,Candidate9_Name,Candidate10_Name,Candidate1_TotalVotes,Candidate2_TotalVotes,Candidate3_TotalVotes,Candidate4_TotalVotes,Candidate5_TotalVotes,Candidate6_TotalVotes,Candidate7_TotalVotes,Candidate8_TotalVotes,Candidate9_TotalVotes,Candidate10_TotalVotes,Candidate1_TotalVotesPercent,Candidate2_TotalVotesPercent,Candidate3_TotalVotesPercent,Candidate4_TotalVotesPercent,Candidate5_TotalVotesPercent,Candidate6_TotalVotesPercent,Candidate7_TotalVotesPercent,Candidate8_TotalVotesPercent,Candidate9_TotalVotesPercent,Candidate10_TotalVotesPercent,Candidate1_VotesByMail,Candidate2_VotesByMail,Candidate3_VotesByMail,Candidate4_VotesByMail,Candidate5_VotesByMail,Candidate6_VotesByMail,Candidate7_VotesByMail,Candidate8_VotesByMail,Candidate9_VotesByMail,Candidate10_VotesByMail,Candidate1_InPersonVotes,Candidate2_InPersonVotes,Candidate3_InPersonVotes,Candidate4_InPersonVotes,Candidate5_InPersonVotes,Candidate6_InPersonVotes,Candidate7_InPersonVotes,Candidate8_InPersonVotes,Candidate9_InPersonVotes,Candidate10_InPersonVotes,Candidate1_ProvisionalVotes,Candidate2_ProvisionalVotes,Candidate3_ProvisionalVotes,Candidate4_ProvisionalVotes,Candidate5_ProvisionalVotes,Candidate6_ProvisionalVotes,Candidate7_ProvisionalVotes,Candidate8_ProvisionalVotes,Candidate9_ProvisionalVotes,Candidate10_ProvisionalVotes
1,DEM Member City Council,Paris Bienert ,Zeke Cohen ,NA,NA,NA,NA,NA,NA,NA,NA,3191,6336,NA,NA,NA,NA,NA,NA,NA,NA,33.49,66.51,NA,NA,NA,NA,NA,NA,NA,NA,3146,6233,NA,NA,NA,NA,NA,NA,NA,NA,33,79,NA,NA,NA,NA,NA,NA,NA,NA,12,24,NA,NA,NA,NA,NA,NA,NA,NA
10,DEM Member City Council,Keisha D. Allen,Bob Cockey ,Ray Conaway,Natasha Guynes,Kerry Eugene Hamilton,Ebony Harvin,Cynthia D. Hendricks Jones,Bill Marker,Phylicia Porter,NA,904,343,462,457,172,612,184,462,1689,NA,17.11,6.49,8.74,8.65,3.25,11.58,3.48,8.74,31.96,NA,867,331,455,436,169,533,177,450,1600,NA,32,10,7,20,3,74,6,11,75,NA,5,2,0,1,0,5,1,1,14,NA
10,REP Member City Council,Mekkah X. Mohammed,Michael W. Nolet ,NA,NA,NA,NA,NA,NA,NA,NA,53,420,NA,NA,NA,NA,NA,NA,NA,NA,11.21,88.79,NA,NA,NA,NA,NA,NA,NA,NA,49,408,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA
11,DEM Member City Council,Eric Costello ,NA,NA,NA,NA,NA,NA,NA,NA,NA,9021,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,8824,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,DEM Member City Council,Haroon Ajaz,Gary T. Crum,Dave Heilker,Matthew Reeds ,"Robert Stokes, Sr",Phillip Lee Westry,NA,NA,NA,NA,226,757,463,304,3180,2932,NA,NA,NA,NA,2.87,9.63,5.89,3.87,40.45,37.29,NA,NA,NA,NA,215,727,443,296,3082,2863,NA,NA,NA,NA,11,27,17,6,81,61,NA,NA,NA,NA,0,3,3,2,17,8,NA,NA,NA,NA
12,REP Member City Council,Eugene Z. Boikai ,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,DEM Member City Council,Jackie T. Addison,Raymond Wallace David,"Antonio ""Tony"" Glover",Wesley D. Hawkins,Kevin W. Parson,Akil Patterson,Clarence J. Thomas,NA,NA,NA,2123,134,2830,597,524,988,708,NA,NA,NA,26.86,1.7,35.8,7.55,6.63,12.5,8.96,NA,NA,NA,2057,132,2752,561,513,965,689,NA,NA,NA,55,2,64,34,10,19,16,NA,NA,NA,11,0,14,2,1,4,3,NA,NA,NA
14,DEM Member City Council,Rita Church,"Joseph A. Kane, II",Stephanie Murdock,Odette Ramos,NA,NA,NA,NA,NA,NA,988,1719,1272,7352,NA,NA,NA,NA,NA,NA,8.72,15.17,11.23,64.88,NA,NA,NA,NA,NA,NA,952,1662,1233,7244,NA,NA,NA,NA,NA,NA,29,49,35,94,NA,NA,NA,NA,NA,NA,7,8,4,14,NA,NA,NA,NA,NA,NA
14,REP Member City Council,Charles A. Long,NA,NA,NA,NA,NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,DEM Member City Council,"Melissa ""Mel B."" Bagley",Tamira Dunn,Danielle McCray,NA,NA,NA,NA,NA,NA,NA,1219,2667,5607,NA,NA,NA,NA,NA,NA,NA,12.84,28.09,59.06,NA,NA,NA,NA,NA,NA,NA,1188,2573,5423,NA,NA,NA,NA,NA,NA,NA,27,85,169,NA,NA,NA,NA,NA,NA,NA,4,9,15,NA,NA,NA,NA,NA,NA,NA
2,REP Member City Council,Brendon Joyner-El,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,DEM Member City Council,Ryan Dorsey,Mel Munk,Rain Pryor ,NA,NA,NA,NA,NA,NA,NA,6704,629,4149,NA,NA,NA,NA,NA,NA,NA,58.39,5.48,36.13,NA,NA,NA,NA,NA,NA,NA,6514,615,4047,NA,NA,NA,NA,NA,NA,NA,167,11,96,NA,NA,NA,NA,NA,NA,NA,23,3,6,NA,NA,NA,NA,NA,NA,NA
3,REP Member City Council,David Marshall Wright,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,DEM Member City Council,Anson Asaka,V. Lee Brady,"William ""Sam"" Broaddus, III",Stanley Cole,Mark Conway,Zac Dingle ,Logan Endow,"Tim Goldsby, Jr. ",Nicole E. Harris-Crest ,Angie Winder,349,123,311,195,3405,1106,3184,122,2428,867,2.89,1.02,2.57,1.61,28.16,9.15,26.34,1.01,20.08,7.17,340,119,296,187,3334,1053,3130,120,2354,838,6,4,15,7,58,45,49,2,69,26,3,0,0,1,13,8,5,0,5,3
5,DEM Member City Council,Chris Ervin,"Isaac ""Yitzy"" Schleifer",NA,NA,NA,NA,NA,NA,NA,NA,4635,7923,NA,NA,NA,NA,NA,NA,NA,NA,36.91,63.09,NA,NA,NA,NA,NA,NA,NA,NA,4484,7699,NA,NA,NA,NA,NA,NA,NA,NA,134,205,NA,NA,NA,NA,NA,NA,NA,NA,17,19,NA,NA,NA,NA,NA,NA,NA,NA
5,REP Member City Council,Maria Mandela Vismale,NA,NA,NA,NA,NA,NA,NA,NA,NA,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,DEM Member City Council,Taurus Barksdale ,Sharon Green Middleton ,Timothy Mercer,NA,NA,NA,NA,NA,NA,NA,2756,6195,698,NA,NA,NA,NA,NA,NA,NA,28.56,64.2,7.23,NA,NA,NA,NA,NA,NA,NA,2607,6034,671,NA,NA,NA,NA,NA,NA,NA,137,147,25,NA,NA,NA,NA,NA,NA,NA,12,14,2,NA,NA,NA,NA,NA,NA,NA
6,REP Member City Council,Michelle Y. Andrews ,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,DEM Member City Council,Rodney Hudson ,Tori Rose,Brian Sims ,Michael C. Ter Avest,James Torrence,NA,NA,NA,NA,NA,1428,2180,2091,173,3276,NA,NA,NA,NA,NA,15.61,23.83,22.86,1.89,35.81,NA,NA,NA,NA,NA,1386,2109,2023,168,3180,NA,NA,NA,NA,NA,35,61,57,5,85,NA,NA,NA,NA,NA,7,10,11,0,11,NA,NA,NA,NA,NA
7,REP Member City Council,Christopher M. Anderson,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,DEM Member City Council,Kristerfer Burnett,Anthony Greene,NA,NA,NA,NA,NA,NA,NA,NA,6613,3932,NA,NA,NA,NA,NA,NA,NA,NA,62.71,37.29,NA,NA,NA,NA,NA,NA,NA,NA,6377,3753,NA,NA,NA,NA,NA,NA,NA,NA,216,172,NA,NA,NA,NA,NA,NA,NA,NA,20,7,NA,NA,NA,NA,NA,NA,NA,NA
9,DEM Member City Council,Tyrone L. Barnwell,John T. Bullock,Amefike Kofi Changamire,Derwin Hannah ,NA,NA,NA,NA,NA,NA,1182,4235,589,389,NA,NA,NA,NA,NA,NA,18.48,66.22,9.21,6.08,NA,NA,NA,NA,NA,NA,1090,4056,558,364,NA,NA,NA,NA,NA,NA,84,155,26,21,NA,NA,NA,NA,NA,NA,8,24,5,4,NA,NA,NA,NA,NA,NA
